date,state,district,pincode,total_enrolment,total_demo_updates,total_bio_updates,total_activity,enrolment_to_update_ratio,performance_score,anomaly_score
2025-03-01,Andhra Pradesh,Adilabad,504299,0.0,553.0,431.0,984.0,0.0,2.594024967752444,-0.022822527121790892
2025-03-01,Andhra Pradesh,Anantapur,515201,0.0,536.0,286.0,822.0,0.0,2.1204376151974906,-0.0009766843838889816
2025-03-01,Andhra Pradesh,Anantapur,515865,0.0,881.0,303.0,1184.0,0.0,2.9857996771446462,-0.03236515109938809
2025-03-01,Andhra Pradesh,Anantapur,515865,0.0,881.0,303.0,1184.0,0.0,2.9857996771446462,-0.03236515109938809
2025-03-01,Andhra Pradesh,Anantapur,515871,0.0,668.0,277.0,945.0,0.0,2.4051853132900196,-0.01259077516802709
2025-03-01,Andhra Pradesh,Anantapur,515871,0.0,668.0,277.0,945.0,0.0,2.4051853132900196,-0.01259077516802709
2025-03-01,Andhra Pradesh,Ananthapur,515001,0.0,285.0,946.0,1231.0,0.0,3.5007742492352327,-0.04622679824858
2025-03-01,Andhra Pradesh,Ananthapur,515671,0.0,449.0,820.0,1269.0,0.0,3.5113241852032866,-0.06265105359633982
2025-03-01,Andhra Pradesh,Ananthapuramu,515001,0.0,1268.0,1070.0,2338.0,0.0,6.192308489359253,-0.1162990404371671
2025-03-01,Andhra Pradesh,Ananthapuramu,515001,0.0,1268.0,1070.0,2338.0,0.0,6.192308489359253,-0.1162990404371671
2025-03-01,Andhra Pradesh,Ananthapuramu,515004,0.0,567.0,461.0,1028.0,0.0,2.7167583126775563,-0.030515279896282
2025-03-01,Andhra Pradesh,Ananthapuramu,515411,0.0,595.0,482.0,1077.0,0.0,2.845641787521428,-0.031966965131510094
2025-03-01,Andhra Pradesh,Ananthapuramu,515801,0.0,383.0,434.0,817.0,0.0,2.2016235294908535,-0.006282165413227236
2025-03-01,Andhra Pradesh,Annamayya,517325,0.0,994.0,201.0,1195.0,0.0,2.9476823166764468,-0.022103104780811456
2025-03-01,Andhra Pradesh,Chittoor,517001,0.0,688.0,1035.0,1723.0,0.0,4.718304649709775,-0.09493048737648457
2025-03-01,Andhra Pradesh,Chittoor,517001,0.0,688.0,1035.0,1723.0,0.0,4.718304649709775,-0.09493048737648457
2025-03-01,Andhra Pradesh,Chittoor,517167,0.0,595.0,398.0,993.0,0.0,2.5945394782769764,-0.018454683789678294
2025-03-01,Andhra Pradesh,Chittoor,517167,0.0,595.0,398.0,993.0,0.0,2.5945394782769764,-0.018454683789678294
2025-03-01,Andhra Pradesh,Chittoor,517214,0.0,757.0,578.0,1335.0,0.0,3.5150972623831906,-0.05782398766197139
2025-03-01,Andhra Pradesh,Chittoor,517214,0.0,757.0,578.0,1335.0,0.0,3.5150972623831906,-0.05782398766197139
2025-03-01,Andhra Pradesh,Chittoor,517247,0.0,1245.0,1306.0,2551.0,0.0,6.843483489977468,-0.12518962384055876
2025-03-01,Andhra Pradesh,Chittoor,517247,0.0,1245.0,1306.0,2551.0,0.0,6.843483489977468,-0.12518962384055876
2025-03-01,Andhra Pradesh,Chittoor,517257,0.0,864.0,473.0,1337.0,0.0,3.453845984256384,-0.04946549426762703
2025-03-01,Andhra Pradesh,Chittoor,517257,0.0,864.0,473.0,1337.0,0.0,3.453845984256384,-0.04946549426762703
2025-03-01,Andhra Pradesh,Chittoor,517325,0.0,1058.0,1004.0,2062.0,0.0,5.499204586314351,-0.10982801401788689
2025-03-01,Andhra Pradesh,Chittoor,517401,0.0,546.0,536.0,1082.0,0.0,2.891375879924818,-0.03870190645414939
2025-03-01,Andhra Pradesh,Chittoor,517401,0.0,546.0,536.0,1082.0,0.0,2.891375879924818,-0.03870190645414939
2025-03-01,Andhra Pradesh,Chittoor,517415,0.0,527.0,358.0,885.0,0.0,2.3144191989143477,-0.009231622044087229
2025-03-01,Andhra Pradesh,Chittoor,517415,0.0,527.0,358.0,885.0,0.0,2.3144191989143477,-0.009231622044087229
2025-03-01,Andhra Pradesh,Chittoor,517423,0.0,484.0,581.0,1065.0,0.0,2.8795132010546656,-0.04200927035575863
2025-03-01,Andhra Pradesh,Chittoor,517424,0.0,752.0,782.0,1534.0,0.0,4.113112174560294,-0.08046546297378387
