date,state,district,pincode,total_enrolment,total_demo_updates,total_bio_updates,total_activity,enrolment_to_update_ratio,performance_score
2025-03-02,Meghalaya,East Khasi Hills,793121,109.0,0.0,0.0,109.0,,1.6494325346784362
2025-03-09,Bihar,Bhagalpur,812005,71.0,0.0,0.0,71.0,,1.0744010088272382
2025-03-09,Bihar,Madhubani,847108,160.0,0.0,0.0,160.0,,2.421185372005044
2025-03-09,Bihar,Purbi Champaran,845304,102.0,0.0,0.0,102.0,,1.5435056746532156
2025-03-09,Bihar,Purbi Champaran,845418,88.0,0.0,0.0,88.0,,1.3316519546027743
2025-03-09,Bihar,Sitamarhi,843317,145.0,0.0,0.0,145.0,,2.194199243379571
2025-03-09,Bihar,Sitamarhi,843324,269.0,0.0,0.0,269.0,,4.070617906683481
2025-03-09,Bihar,Sitamarhi,843330,89.0,0.0,0.0,89.0,,1.3467843631778058
2025-03-09,Bihar,Sitamarhi,843331,81.0,0.0,0.0,81.0,,1.2257250945775537
2025-03-09,Delhi,West Delhi,110059,177.0,0.0,0.0,177.0,,2.67843631778058
2025-03-09,Haryana,Faridabad,121004,150.0,0.0,0.0,150.0,,2.2698612862547285
2025-03-09,Karnataka,Bengaluru Urban,560043,86.0,0.0,0.0,86.0,,1.3013871374527113
2025-03-09,Karnataka,Bengaluru Urban,560068,66.0,0.0,0.0,66.0,,0.9987389659520807
2025-03-09,Madhya Pradesh,Bhind,477116,66.0,0.0,0.0,66.0,,0.9987389659520807
2025-03-09,Madhya Pradesh,Gwalior,475110,70.0,0.0,0.0,70.0,,1.0592686002522067
2025-03-09,Madhya Pradesh,Katni,483501,106.0,0.0,0.0,106.0,,1.604035308953342
2025-03-09,Maharashtra,Aurangabad,431001,100.0,0.0,0.0,100.0,,1.5132408575031526
2025-03-09,Rajasthan,Sikar,332001,94.0,0.0,0.0,94.0,,1.4224464060529634
2025-03-09,Uttar Pradesh,Aligarh,202133,106.0,0.0,0.0,106.0,,1.604035308953342
2025-03-09,Uttar Pradesh,Bahraich,271865,100.0,0.0,0.0,100.0,,1.5132408575031526
2025-03-09,Uttar Pradesh,Gautam Buddha Nagar,201301,290.0,0.0,0.0,290.0,,4.388398486759142
2025-03-09,Uttar Pradesh,Ghaziabad,201102,174.0,0.0,0.0,174.0,,2.633039092055485
2025-03-09,Uttar Pradesh,Kanpur Nagar,208001,123.0,0.0,0.0,123.0,,1.8612862547288773
2025-03-09,Uttar Pradesh,Lucknow,226003,142.0,0.0,0.0,142.0,,2.1488020176544764
2025-03-09,Uttar Pradesh,Maharajganj,273164,114.0,0.0,0.0,114.0,,1.7250945775535942
2025-03-09,West Bengal,Dinajpur Uttar,733129,71.0,0.0,0.0,71.0,,1.0744010088272382
2025-03-15,Assam,Marigaon,782104,67.0,0.0,0.0,67.0,,1.0138713745271122
2025-03-15,Assam,Marigaon,782105,182.0,0.0,0.0,182.0,,2.7540983606557377
2025-03-15,Bihar,Madhubani,847421,84.0,0.0,0.0,84.0,,1.2711223203026483
2025-03-15,Bihar,Purbi Champaran,845303,146.0,0.0,0.0,146.0,,2.209331651954603
2025-03-15,Bihar,Sitamarhi,843324,155.0,0.0,0.0,155.0,,2.345523329129886
2025-03-15,Delhi,West Delhi,110059,76.0,0.0,0.0,76.0,,1.150063051702396
2025-03-15,Maharashtra,Parbhani,431401,68.0,0.0,0.0,68.0,,1.0290037831021437
2025-03-15,Meghalaya,West Jaintia Hills,793150,139.0,0.0,0.0,139.0,,2.103404791929382
2025-03-15,Meghalaya,West Khasi Hills,793119,192.0,0.0,0.0,192.0,,2.905422446406053
2025-03-15,Uttar Pradesh,Agra,282001,182.0,0.0,0.0,182.0,,2.7540983606557377
2025-03-15,Uttar Pradesh,Agra,282005,93.0,0.0,0.0,93.0,,1.4073139974779318
2025-03-15,Uttar Pradesh,Agra,282010,78.0,0.0,0.0,78.0,,1.180327868852459
2025-03-15,Uttar Pradesh,Gautam Buddha Nagar,201009,75.0,0.0,0.0,75.0,,1.1349306431273642
2025-03-15,Uttar Pradesh,Gautam Buddha Nagar,201301,199.0,0.0,0.0,199.0,,3.0113493064312737
2025-03-15,Uttar Pradesh,Ghaziabad,201001,174.0,0.0,0.0,174.0,,2.633039092055485
2025-03-15,Uttar Pradesh,Ghaziabad,201002,89.0,0.0,0.0,89.0,,1.3467843631778058
2025-03-15,Uttar Pradesh,Ghaziabad,201102,195.0,0.0,0.0,195.0,,2.9508196721311473
2025-03-15,Uttar Pradesh,Maharajganj,273164,79.0,0.0,0.0,79.0,,1.1954602774274905
2025-03-15,Uttar Pradesh,Saharanpur,247001,253.0,0.0,0.0,253.0,,3.828499369482976
2025-03-15,Uttar Pradesh,Unnao,209801,130.0,0.0,0.0,130.0,,1.9672131147540985
2025-03-20,Andhra Pradesh,Spsr Nellore,524002,65.0,0.0,0.0,65.0,,0.9836065573770493
2025-03-20,Assam,Barpeta,783101,68.0,0.0,0.0,68.0,,1.0290037831021437
2025-03-20,Assam,Bongaigaon,783384,89.0,0.0,0.0,89.0,,1.3467843631778058
2025-03-20,Assam,Dhemaji,787057,85.0,0.0,0.0,85.0,,1.2862547288776798
2025-03-20,Assam,Dhubri,783331,78.0,0.0,0.0,78.0,,1.180327868852459
2025-03-20,Assam,Dhubri,783334,93.0,0.0,0.0,93.0,,1.4073139974779318
2025-03-20,Assam,Dhubri,783339,82.0,0.0,0.0,82.0,,1.240857503152585
